,name,done
45,https://www.tripadvisor.com.sg/Hotel_Review-g294265-d4116146-Reviews-Dorsett_Singapore-Singapore.html,300.0
46,https://www.tripadvisor.com.sg/Hotel_Review-g294265-d12834200-Reviews-Hotel_Mi-Singapore.html,499.0
47,https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1086295-Reviews-Crowne_Plaza_Changi_Airport-Singapore.html,1407.0
48,https://www.tripadvisor.com.sg/Hotel_Review-g294265-d3505884-Reviews-Ramada_by_Wyndham_Singapore_at_Zhongshan_Park-Singapore.html,1190.0
49,https://www.tripadvisor.com.sg/Hotel_Review-g294265-d505504-Reviews-Ibis_budget_Singapore_Pearl-Singapore.html,60.0
50,https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1656770-Reviews-Studio_M_Hotel-Singapore.html,535.0
51,https://www.tripadvisor.com.sg/Hotel_Review-g294264-d17324106-Reviews-The_Barracks_Hotel_Sentosa_by_Far_East_Hospitality-Sentosa_Island.html,194.0
52,https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1845693-Reviews-The_Fullerton_Bay_Hotel_Singapore-Singapore.html,1903.0
53,https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1007912-Reviews-Village_Residence_Robertson_Quay_by_Far_East_Hospitality-Singapore.html,295.0
54,https://www.tripadvisor.com.sg/Hotel_Review-g294265-d306197-Reviews-Hilton_Singapore_SG_Clean_Certified-Singapore.html,725.0
55,https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1770798-Reviews-Marina_Bay_Sands-Singapore.html,3794.0
