id,title,movement,case_material,year,condition,ref,box,papers,location,case_diameter,price,url
20340340,Rolex Explorer II,Automatic,Steel,2007,Good,16570,Y,Y,"Singapore, Singapore",40 mm,"S$12,270",https://www.chrono24.sg/rolex/explorer-ii--id20340340.htm
19290378,"Rolex Submariner Date 16800, 8.4 mil series, box and papers .",Automatic,Steel,1984,Fair,16800,Y,Y,Singapore,40 mm,"S$19,205",https://www.chrono24.sg/rolex/rolex-submariner-date-16800-84-mil-series-box-and-papers---id19290378.htm
19653664,Rolex Submariner Date,Automatic,Gold/Steel,2015,Very good,116613LB,Y,Y,"Singapore, Singapore",40 mm,"S$30,800",https://www.chrono24.sg/rolex/rolex-submariner-date--id19653664.htm
20525891,Rolex 69174 Black Diamond with paper,Automatic,Steel,1997,Good,69174,Y,Y,"Singapore, SINGAPORE",26 mm,"S$7,999",https://www.chrono24.sg/rolex/69174-black-diamond-with-paper--id20525891.htm
19982214,Rolex Explorer 39mm Mk II Ref: 214270,Automatic,Steel,2019,Very good,214270,Y,Y,Singapore,39 mm,"S$14,999",https://www.chrono24.sg/rolex/rolex-explorer-39mm-mk-ii-ref-214270--id19982214.htm
19368194,Rolex Vintage Oyster Precision Chevron Dial,Manual winding,Steel,1940,Good,6480,N,N,Singapore,34 mm,"S$6,722",https://www.chrono24.sg/rolex/rolex-vintage-oyster-precision-chevron-dial--id19368194.htm
20257911,Rolex Explorer II,Automatic,Steel,2002,Very good,16570,Y,Y,"Singapore, Singapore",40 mm,"S$13,000",https://www.chrono24.sg/rolex/explorer-ii--id20257911.htm
20545564,Rolex Datejust 36,Automatic,Steel,2021,Very good,126234,Y,Y,"Singapore, Singapore",36 mm,"S$14,650",https://www.chrono24.sg/rolex/rolex-datejust-36--id20545564.htm
20617421,Rolex Oyster Perpetual Date ref. 15000,Automatic,-,1981,Very good,15000,N,N,"Singapore, Singapore",34 mm,"S$4,938",https://www.chrono24.sg/rolex/rolex-oyster-perpetual-date-ref-15000--id20617421.htm
16732412,Rolex Day-Date 18038 Baguette Ruby Indexes with Rare Full Gold...,Automatic,Yellow gold,1981,Very good,18038,N,N,Singapore,36 mm,"S$34,020",https://www.chrono24.sg/rolex/rolex-day-date-18038-baguette-ruby-indexes-with-rare-full-gold-jubilee-bracelet--id16732412.htm
16972339,Rolex GMT-Master Pepsi in Stainless Steel Ref: 1675,Automatic,Steel,1970,Fair,1675,N,N,Singapore,40 mm,"S$21,200",https://www.chrono24.sg/rolex/rolex-gmt-master-pepsi-in-stainless-steel-ref-1675--id16972339.htm
19117904,Rolex Oyster Perpetual Explorer II 40mm Black Ref: 16570,Automatic,Steel,1994,Good,16570,Y,Y,Singapore,40 mm,"S$13,730",https://www.chrono24.sg/rolex/rolex-oyster-perpetual-explorer-ii-40mm-black-ref-16570--id19117904.htm
15550122,Rolex Ladies DateJust President White Gold 26mm Silver Computer,Automatic,White gold,2003,Good,179179,Y,Y,Singapore,26 mm,"S$17,800",https://www.chrono24.sg/rolex/rolex-ladies-datejust-president-white-gold-26mm-silver-computer--id15550122.htm
20500116,Rolex Sea-Dweller,Automatic,Steel,2021,Unworn,126600,Y,Y,"Singapore, Pasir Ris",43 mm,"S$24,600",https://www.chrono24.sg/rolex/sea-dweller--id20500116.htm
20712364,Rolex Datejust Grey Buckley 16014,Automatic,Steel,1980,Very good,16014,N,N,Singapore,36 mm,"S$10,000",https://www.chrono24.sg/rolex/rolex-datejust-grey-buckley-16014--id20712364.htm
20611290,Rolex Yacht-Master 40,Automatic,Steel,2004,Very good,16622,Y,Y,"Singapore, Singapore",40 mm,"S$12,897",https://www.chrono24.sg/rolex/yacht-master-40--id20611290.htm
20470410,Rolex Yacht-Master 35mm,Automatic,Steel,2000,Good,168622,N,N,"Singapore, Singapore",35 mm,"S$10,100",https://www.chrono24.sg/rolex/yacht-master-35mm--id20470410.htm
20235307,Rolex Explorer II,Automatic,Steel,2000,Very good,16570,Y,Y,"Singapore, Singapore",40 mm,"S$13,150",https://www.chrono24.sg/rolex/rolex-explorer-ii--id20235307.htm
20292875,Rolex Datejust,Automatic,Gold/Steel,2014,Very good,116231,Y,Y,"Singapore, Singapore",36 mm,"S$17,888",https://www.chrono24.sg/rolex/datejust--id20292875.htm
20381865,Rolex GMT-Master II,Automatic,Steel,2015,Very good,116710LN,Y,Y,"Singapore, Singapore",40 mm,"S$20,385",https://www.chrono24.sg/rolex/rolex-gmt-master-ii--id20381865.htm
19879805,"Rolex Sea-Dweller 1665, 6.7 mil series, watch only",Automatic,Steel,1981,Fair,1665,N,N,Singapore,40 mm,"S$24,623",https://www.chrono24.sg/rolex/rolex-sea-dweller-1665-67-mil-series-watch-only--id19879805.htm
19611427,Rolex Lady-Datejust,Automatic,Steel,2007,Very good,179174,N,N,Singapore,26 mm,"S$8,480",https://www.chrono24.sg/rolex/rolex-lady-datejust--id19611427.htm
18799054,Rolex Day-Date 18038 Pyramid Dial,Automatic,Yellow gold,1980,Very good,18038,N,N,Singapore,36 mm,"S$18,519",https://www.chrono24.sg/rolex/rolex-day-date-18038-pyramid-dial--id18799054.htm
20680269,Rolex GMT-Master II,Automatic,Steel,2021,Unworn,126710BLNR-0003,Y,Y,"Singapore, Singapore",40 mm,"S$26,800",https://www.chrono24.sg/rolex/gmt-master-ii--id20680269.htm
20506853,"Rolex Oyster Perpetual Datejust,men,18k white gold with...",Automatic,-,1973,Good,1601,N,N,"Singapore, Singapore",36 mm,"S$6,722",https://www.chrono24.sg/rolex/rolex-oyster-perpetual-datejustmen18k-white-gold-with-sigma-dial-ref-1601--id20506853.htm
20562918,"Rolex Submariner 5513 ""Pre-comex dial"". Full set",Automatic,Steel,1973,Fair,5513,Y,Y,Singapore,40 mm,"S$24,692",https://www.chrono24.sg/rolex/rolex-submariner-5513-pre-comex-dial-full-set--id20562918.htm
20330411,"Rolex GMT-Master ""Pepsi"" in Stainless Steel Ref: 16700",Automatic,Steel,1994,Fair,16700,Y,Y,Singapore,40 mm,"S$20,830",https://www.chrono24.sg/rolex/rolex-gmt-master-pepsi-in-stainless-steel-ref-16700--id20330411.htm
19645901,Rolex GMT-Master II,Automatic,Yellow gold,2017,Very good,116718LN,Y,Y,"Singapore, Singapore",40 mm,"S$73,500",https://www.chrono24.sg/rolex/rolex-gmt-master-ii--id19645901.htm
20047909,"Rolex Datejust 16018 ""Tiger eye"", box and papers 1978",Automatic,Yellow gold,1978,Good,16018,Y,Y,Singapore,36 mm,"S$31,071",https://www.chrono24.sg/rolex/rolex-datejust-16018-tiger-eye-box-and-papers-1978--id20047909.htm
19727328,Rolex SS | Grey Yachtmaster 126622,Automatic,Steel,2020,Unworn,126622,Y,Y,Singapore,40 mm,Price on request,https://www.chrono24.sg/rolex/ss--grey-yachtmaster-126622--id19727328.htm
19950481,Rolex GMT-Master II Rolex GMT-Master II Pepsi (2003),Automatic,Steel,-,Very good,16710,Y,Y,"Singapore, SINGAPORE",40 mm,"S$32,758",https://www.chrono24.sg/rolex/gmt-master-ii-rolex-gmt-master-ii-pepsi-2003--id19950481.htm
20410557,Rolex Oyster Perpetual 31,Automatic,Steel,2019,Very good,177200,Y,Y,"Singapore, Singapore",31 mm,"S$7,408",https://www.chrono24.sg/rolex/oyster-perpetual-31--id20410557.htm
20199736,Rolex Daytona Beach Pink 116519,Automatic,White gold,-,Very good,116519,Y,Y,Singapore,40 mm,"S$120,000",https://www.chrono24.sg/rolex/rolex-daytona-beach-pink-116519--id20199736.htm
15981810,Rolex Artisans De Genève La Blausee,Manual winding,Steel,2020,Unworn,116520 Daytona,Y,Y,"Singapore, Singapore",-,"S$143,000",https://www.chrono24.sg/rolex/artisans-de-geneve-la-blausee--id15981810.htm
20754557,Rolex Day-Date Rose Gold 1803,Automatic,Rose gold,1978,Very good,1803,Y,N,"United Kingdom, London",36 mm,"S$20,861",https://www.chrono24.sg/rolex/rolex-day-date-rose-gold-1803--id20754557.htm
